File,Mw,Lon,Lat,Depth
tamtam_nuevo.000255.log,7.578,167.645142,-17.753884,12.3
tamtam_nuevo.000256.log,7.2083,167.601878,-16.815227,24.61
tamtam_nuevo.000257.log,7.3456,167.336772,-17.060948,10.66
tamtam_nuevo.000258.log,7.66,167.762634,-16.235357,49.45
tamtam_nuevo.000259.log,7.0028,167.497869,-15.87326,41.82
tamtam_nuevo.000260.log,7.3755,168.643593,-20.170009,12.27
tamtam_nuevo.000261.log,7.4484,166.654376,-15.29271,12.52
tamtam_nuevo.000262.log,7.1871,166.756753,-14.151759,27.45
tamtam_nuevo.000263.log,7.3221,167.740604,-16.371243,45.29
tamtam_nuevo.000264.log,7.5279,167.672783,-18.386584,9.09
tamtam_nuevo.000265.log,7.3407,167.14524,-14.634093,46.67
tamtam_nuevo.000266.log,7.3084,168.044265,-19.071311,11.75
tamtam_nuevo.000267.log,7.3171,169.499795,-21.520572,12.26
tamtam_nuevo.000268.log,7.1662,169.572023,-21.247124,21.16
tamtam_nuevo.000269.log,7.3242,169.558515,-21.2577,19.86
tamtam_nuevo.000270.log,7.1574,167.951094,-16.870187,47.91
tamtam_nuevo.000271.log,7.1953,169.024008,-21.386922,6.32
tamtam_nuevo.000272.log,7.1443,170.509768,-21.943491,36.22
tamtam_nuevo.000273.log,7.3935,167.555131,-18.150909,8.22
tamtam_nuevo.000274.log,7.1735,169.128401,-20.976741,12.64
tamtam_nuevo.000275.log,7.2339,169.537695,-21.644932,11.14
tamtam_nuevo.000276.log,7.0623,166.561782,-15.710639,7.96
tamtam_nuevo.000277.log,7.3849,169.833726,-21.692406,17.87
tamtam_nuevo.000278.log,7.335,169.378949,-20.447791,43.49
tamtam_nuevo.000279.log,7.1962,168.044265,-19.071311,11.75
tamtam_nuevo.000280.log,7.1543,167.18305,-14.97752,43.38
tamtam_nuevo.000281.log,7.2682,166.967924,-16.296402,11.48
tamtam_nuevo.000282.log,7.3958,166.918978,-14.083816,42.95
tamtam_nuevo.000283.log,7.3456,169.154274,-21.232188,9.44
tamtam_nuevo.000284.log,7.5084,166.993618,-14.361625,41.35
tamtam_nuevo.000285.log,7.4816,169.196387,-21.013302,13.72
tamtam_nuevo.000286.log,7.426,166.550324,-14.95559,10.36
tamtam_nuevo.000287.log,7.3913,167.203506,-15.650501,33.35
tamtam_nuevo.000288.log,7.6409,169.499795,-21.520572,12.26
tamtam_nuevo.000289.log,7.3144,167.595907,-18.049045,9.26
tamtam_nuevo.000290.log,7.4039,168.12954,-19.180336,12.57
tamtam_nuevo.000291.log,7.4607,167.569543,-15.917262,44.64
tamtam_nuevo.000292.log,7.1538,169.683484,-20.883844,47.04
tamtam_nuevo.000293.log,7.4442,167.978148,-17.37914,37.33
tamtam_nuevo.000294.log,7.4849,168.731633,-20.016043,17.16
tamtam_nuevo.000295.log,7.3382,166.783855,-15.926207,11.07
tamtam_nuevo.000296.log,7.2914,167.895443,-19.128217,8.46
tamtam_nuevo.000297.log,7.1927,169.893249,-21.542695,27.72
tamtam_nuevo.000298.log,7.5227,167.118861,-15.661506,28.49
tamtam_nuevo.000299.log,7.3058,169.098968,-21.180819,9.21
tamtam_nuevo.000300.log,7.4781,168.007285,-17.600472,33.96
tamtam_nuevo.000301.log,7.4361,167.895443,-19.128217,8.46
tamtam_nuevo.000302.log,7.246,167.30664,-16.91287,12.18
tamtam_nuevo.000303.log,7.3881,168.182969,-17.75271,46.17
tamtam_nuevo.000304.log,7.5957,168.17189,-18.648098,21.52
tamtam_nuevo.000305.log,7.2223,169.697433,-21.308921,27.03
tamtam_nuevo.000306.log,7.5293,167.510269,-15.821387,43.96
tamtam_nuevo.000307.log,7.3852,167.666373,-16.082286,46.44
tamtam_nuevo.000308.log,7.1744,167.224104,-14.676109,53.33
tamtam_nuevo.000309.log,7.3188,166.340061,-14.072916,9.16
tamtam_nuevo.000310.log,7.752,167.884049,-16.508267,51.67
tamtam_nuevo.000311.log,7.4537,166.399198,-14.048685,11.42
tamtam_nuevo.000312.log,7.5898,168.203159,-19.04663,16.44
tamtam_nuevo.000313.log,7.3622,166.461272,-14.095316,13.05
tamtam_nuevo.000314.log,7.352,169.461575,-21.221336,17.31
tamtam_nuevo.000315.log,7.4003,168.253114,-18.942228,19.66
tamtam_nuevo.000316.log,7.8941,169.558515,-21.2577,19.86
tamtam_nuevo.000317.log,7.0636,168.948389,-20.169109,23.2
tamtam_nuevo.000318.log,7.2076,167.934865,-16.792342,48.44
tamtam_nuevo.000319.log,7.3666,166.347616,-14.447926,6.51
tamtam_nuevo.000320.log,7.2561,166.277233,-14.234532,6.38
tamtam_nuevo.000321.log,7.4746,167.608414,-18.104599,9.32
tamtam_nuevo.000322.log,7.2875,169.223345,-21.230793,10.74
tamtam_nuevo.000323.log,7.2397,167.359496,-17.257237,8.34
tamtam_nuevo.000324.log,7.166,168.586007,-19.792046,16.49
tamtam_nuevo.000325.log,7.1807,166.347616,-14.447926,6.51
tamtam_nuevo.000326.log,7.4368,170.000937,-21.493465,37.07
tamtam_nuevo.000327.log,7.3885,168.007262,-19.152578,10.1
tamtam_nuevo.000328.log,7.2397,169.863308,-21.615895,21.73
tamtam_nuevo.000329.log,7.3329,167.655976,-16.304127,41.36
tamtam_nuevo.000330.log,7.5376,166.690675,-14.20373,21.58
tamtam_nuevo.000331.log,7.3484,167.644546,-16.956663,23.26
tamtam_nuevo.000332.log,7.3383,167.359496,-17.257237,8.34
tamtam_nuevo.000333.log,7.6142,169.191102,-21.626944,5.62
tamtam_nuevo.000334.log,7.3706,167.284302,-16.260562,21.71
tamtam_nuevo.000335.log,7.1525,166.756753,-14.151759,27.45
tamtam_nuevo.000336.log,7.3426,168.471456,-19.351469,20.58
tamtam_nuevo.000337.log,7.7192,169.734897,-21.150517,37.03
tamtam_nuevo.000338.log,7.5069,169.959488,-21.352071,43.26
tamtam_nuevo.000339.log,7.3624,168.777941,-20.645124,9.83
tamtam_nuevo.000340.log,7.4927,168.276078,-19.186702,16.66
tamtam_nuevo.000341.log,7.122,169.600635,-20.750746,47.0
tamtam_nuevo.000342.log,7.329,166.550324,-14.95559,10.36
tamtam_nuevo.000343.log,7.6209,168.523261,-18.912733,36.91
tamtam_nuevo.000344.log,7.295,168.087664,-18.35131,22.64
tamtam_nuevo.000345.log,7.4725,167.387154,-17.377778,7.98
tamtam_nuevo.000346.log,7.4778,169.441937,-20.493715,46.92
tamtam_nuevo.000347.log,7.4764,170.110651,-21.479687,46.13
tamtam_nuevo.000348.log,7.4441,167.117134,-14.964985,38.14
tamtam_nuevo.000349.log,7.6108,168.929171,-20.710129,12.02
tamtam_nuevo.000350.log,7.4693,166.785897,-16.317242,7.97
tamtam_nuevo.000351.log,7.4278,169.848973,-21.367278,34.48
tamtam_nuevo.000352.log,7.4187,166.354708,-14.600297,5.99
tamtam_nuevo.000353.log,7.5977,167.40415,-17.593198,8.05
tamtam_nuevo.000354.log,7.2693,169.402254,-21.708745,7.81
tamtam_nuevo.000355.log,7.2568,168.465394,-18.695864,39.25
tamtam_nuevo.000356.log,7.6316,166.892838,-15.082808,23.01
tamtam_nuevo.000357.log,7.5224,167.031997,-14.392621,44.28
tamtam_nuevo.000358.log,7.2239,167.519075,-15.915407,41.82
tamtam_nuevo.000359.log,7.1529,169.697433,-21.308921,27.03
tamtam_nuevo.000360.log,7.3549,169.258613,-21.504998,7.67
tamtam_nuevo.000361.log,7.572,167.651197,-18.452466,8.47
tamtam_nuevo.000362.log,7.2584,167.453465,-18.27702,6.63
tamtam_nuevo.000363.log,7.6471,168.465394,-18.695864,39.25
tamtam_nuevo.000364.log,7.4336,167.445361,-16.835071,17.21
tamtam_nuevo.000365.log,7.6683,167.834281,-16.707293,42.97
tamtam_nuevo.000366.log,7.5812,167.596168,-17.173139,16.2
tamtam_nuevo.000367.log,7.4835,168.12954,-19.180336,12.57
tamtam_nuevo.000368.log,7.4131,168.19886,-19.22401,13.81
